,Time,Hospital,Address,Pincode,Date,Fee Type,Age,Vaccine,No of Doses
0,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18,COVAXIN,19
1,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,80
2,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,06-07-2021,Paid,18,COVAXIN,8
3,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18,COVAXIN,81
4,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18,COVISHIELD,18
5,17:13:54,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,91
6,17:13:54,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,08-07-2021,Paid,18,COVAXIN,3
7,17:13:54,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,09-07-2021,Paid,18,COVAXIN,4
8,17:13:54,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,10-07-2021,Paid,18,COVAXIN,2
9,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,08-07-2021,Paid,18,COVAXIN,3
10,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,09-07-2021,Paid,18,COVAXIN,3
11,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,10-07-2021,Paid,18,COVAXIN,2
12,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18,COVAXIN,88
13,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18,COVISHIELD,45
14,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,91
15,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,08-07-2021,Paid,18,COVAXIN,2
16,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,09-07-2021,Paid,18,COVAXIN,1
17,17:13:55,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,10-07-2021,Paid,18,COVAXIN,3
18,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18,COVAXIN,90
19,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18,COVISHIELD,57
20,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,95
22,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18,COVISHIELD,65
23,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,97
24,17:13:55,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18,COVAXIN,74
