,Time,Hospital,Address,Pincode,Date,Fee Type,Age,Vaccine,No of Doses
0,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,05-07-2021,Paid,18.0,COVISHIELD,80.0
1,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,06-07-2021,Paid,18.0,COVAXIN,100.0
2,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,07-07-2021,Paid,18.0,COVISHIELD,79.0
3,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18.0,COVAXIN,100.0
4,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18.0,COVISHIELD,80.0
5,17:09:51,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18.0,COVAXIN,100.0
6,17:09:52,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,08-07-2021,Paid,18.0,COVAXIN,2.0
7,17:09:52,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,09-07-2021,Paid,18.0,COVAXIN,1.0
8,17:09:52,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,10-07-2021,Paid,18.0,COVAXIN,3.0
9,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,08-07-2021,Paid,18.0,COVAXIN,90.0
10,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18.0,COVISHIELD,57.0
11,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18.0,COVAXIN,95.0
12,17:09:52,Apollo Adlux Hospital,Near Adlux Convention Center Cable Junction Ernakulam District National Highway 47 Karukutty Angamaly,683576,10-07-2021,Paid,18.0,COVAXIN,2.0
13,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,09-07-2021,Paid,18.0,COVISHIELD,65.0
14,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18.0,COVAXIN,97.0
15,17:09:52,Aster Medcity Hospital,Aster Dm Healthcare Ltd Kuttisahib Road Cheranelloor South Chittoor Kochi Kerala,682027,10-07-2021,Paid,18.0,COVAXIN,100.0
